countrycode,country,year,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_capital_factor_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,residual
ALB,Albania,2010,0.038599999999999995,0.1091,0.8377,0.0146,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4437478150098753,34823.10865405743,5.09138164371047,2.9040780067443848,-1.2232596212421232,-0.2029213922716464,0.3286111410391497,0.1643055705195748,-0.24269063489616816,-0.2813064566482397,-0.07838506437659334,-0.9419531645938835
ARE,United Arab Emirates,2010,0.101989801019898,0.25507449255074494,0.4831516848315169,0.15978402159784022,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.427013509674754,117371.01242810229,4.193842172807111,2.717432737350464,-0.008200865399803803,-0.2097927497711618,0.13467920464750027,0.06733960232375012,-0.30911900528258685,-0.4515721527299985,-0.2417794029588367,0.4433712873301947
ARG,Argentina,2010,0.011200000000000002,0.4194,0.452,0.1174,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.368483586004412,43415.45350955708,3.4438304424270774,2.830078363418579,-1.002725380050947,-0.23420432967421212,-0.062353742852790495,-0.031176871426395244,-0.26850219179883106,-0.5338833928994384,-0.2996790632252263,-0.4688419871515086
ARM,Armenia,2010,0.0041,0.05120000000000001,0.7307,0.21400000000000002,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6888569965760354,22025.29413144119,2.0325632191227045,3.111227512359619,-1.681349303259081,-0.1073380479306052,-0.589640429386035,-0.29482021469301745,-0.17378924649843097,-0.5759475091220536,-0.4686094611914484,-1.1054017941370273
AUS,Australia,2010,0.007800780078007801,0.06480648064806481,0.5473547354735474,0.38003800380038005,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.8167552951546733,100048.34754950205,3.7823682132180543,3.4289608001708984,-0.16788728478113057,-0.06086862496785561,0.03141222942693722,0.015706114713468607,-0.07654935176359112,-0.12171186201797812,-0.06084323705012251,-0.04617542276315245
AUT,Austria,2010,0.014798520147985203,0.21747825217478253,0.5938406159384062,0.17388261173882613,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.5454616648726387,94028.23264484611,4.670677916466907,3.282888174057007,-0.22994574496723708,-0.16214220862200657,0.24236612980963756,0.12118306490481877,-0.1200830175061196,-0.1610421612233074,0.0011000473986991638,-0.06890358374392969
BDI,Burundi,2010,0.5728,0.3599,0.058600000000000006,0.0087,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.6340220004577108,1773.0334301559708,1.981375972545069,1.297952651977539,-4.200848947377396,-0.6054097823896039,-0.6151465564822385,-0.3075732782411192,-1.048018453383192,-1.961001514013915,-1.3555917316243111,-2.2398474333634812
BEL,Belgium,2010,0.05,0.1536,0.4964,0.3,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6633061093079484,108749.6108312492,4.972126384131754,3.092796802520752,-0.08449273802845703,-0.11688599363810148,0.3049094970375743,0.15245474851878713,-0.17973079769923883,-0.1441620428185532,-0.027276049180451706,0.05966930479009616
BEN,Benin,2010,0.6408359164083592,0.16758324167583244,0.16048395160483953,0.031096890310968902,1.0000000000000002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.7469925416694492,5784.0371025446175,2.9323959724460202,1.5562914609909058,-3.018438929905596,-0.538558480988211,-0.22311826856197903,-0.1115591342809895,-0.8665008708479425,-1.516618486117143,-0.978060005128932,-1.5018204437884526
BGD,Bangladesh,2010,0.41985801419858015,0.20267973202679732,0.33166683331666835,0.045795420457954206,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.010797284128282,7185.921706060307,2.9506623111748085,1.8734359741210938,-2.8014170361393305,-0.3979229407161986,-0.21690843804628335,-0.10845421902314166,-0.6810324291318764,-1.1874095888712168,-0.7894866481550181,-1.614007447268114
