countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,ln_capital_factor_rel_us,residual,ln_y_abs,ln_yhat_with_A_abs_us_anchor,ln_yhat_without_A_abs_us_anchor
ALB,Albania,albania,Albania,2010,31021.064453125,0.8908183574676514,157940.078125,2.9040780067443848,3.86,10.91,83.77,1.46,0.0385999999999999,0.1091,0.8377,0.0146,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4437478150098753,34823.10865405743,5.09138164371047,2.9040780067443848,-1.2232596212421232,-0.2029213922716464,0.3286111410391497,-0.24269063489616816,-0.2813064566482397,-0.07838506437659334,0.1643055705195748,-0.9419531645938835,10.458036487167636,11.39998965176152,11.602911044033165
ARE,United Arab Emirates,united arab emirates,United Arab Emirates,2010,618895.25,5.272982120513916,2595549.0,2.717432737350464,10.2,25.51,48.32,15.98,0.101989801019898,0.2550744925507449,0.4831516848315169,0.1597840215978402,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4270135096747536,117371.01242810229,4.193842172807111,2.717432737350464,-0.008200865399803803,-0.20979274977116202,0.13467920464750027,-0.30911900528258685,-0.45157215272999873,-0.2417794029588367,0.06733960232375012,0.44337128733019493,11.673095243009955,11.229723955679761,11.439516705450922
ARG,Argentina,argentina,Argentina,2010,784810.125,18.07674598693848,2702753.0,2.830078363418579,1.12,41.94,45.2,11.74,0.0112,0.4194,0.452,0.1174,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.368483586004412,43415.453509557075,3.4438304424270774,2.830078363418579,-1.002725380050947,-0.23420432967421212,-0.062353742852790495,-0.26850219179883106,-0.5338833928994384,-0.2996790632252263,-0.031176871426395244,-0.4688419871515086,10.678570728358812,11.14741271551032,11.381617045184532
ARM,Armenia,armenia,Armenia,2010,25550.779296875,1.1600652933120728,51933.57421875,3.111227512359619,0.41,5.12,73.07,21.4,0.0041,0.0512,0.7307,0.214,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6888569965760354,22025.29413144119,2.0325632191227045,3.111227512359619,-1.681349303259081,-0.1073380479306052,-0.589640429386035,-0.17378924649843097,-0.5759475091220536,-0.4686094611914484,-0.29482021469301745,-1.1054017941370273,9.999946805150678,11.105348599287705,11.21268664721831
AUS,Australia,australia,Australia,2010,1112663.75,11.121260643005373,4208504.0,3.4289608001708984,0.78,6.48,54.73,38.0,0.0078007800780078,0.0648064806480648,0.5473547354735474,0.38003800380038,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.8167552951546733,100048.34754950204,3.7823682132180543,3.4289608001708984,-0.16788728478113057,-0.06086862496785561,0.03141222942693722,-0.07654935176359112,-0.12171186201797812,-0.06084323705012251,0.015706114713468607,-0.04617542276315245,11.513408823628628,11.55958424639178,11.620452871359637
AUT,Austria,austria,Austria,2010,385229.0625,4.096951007843018,1799280.875,3.282888174057007,1.48,21.75,59.39,17.39,0.0147985201479852,0.2174782521747825,0.5938406159384062,0.1738826117388261,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.5454616648726387,94028.23264484611,4.670677916466907,3.282888174057007,-0.22994574496723708,-0.16214220862200657,0.24236612980963756,-0.1200830175061196,-0.1610421612233074,0.0011000473986991638,0.12118306490481877,-0.06890358374392969,11.451350363442522,11.520253947186452,11.682396155808458
BDI,Burundi,burundi,Burundi,2010,6650.67236328125,3.7510135173797607,13177.482421875,1.297952651977539,57.28,35.99,5.86,0.87,0.5728,0.3599,0.0586,0.0087,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.6340220004577108,1773.0334301559708,1.981375972545069,1.297952651977539,-4.200848947377396,-0.6054097823896039,-0.6151465564822385,-1.048018453383192,-1.961001514013915,-1.3555917316243111,-0.3075732782411192,-2.2398474333634812,7.480447161032363,9.720294594395844,10.325704376785447
BEL,Belgium,belgium,Belgium,2010,489332.59375,4.499626159667969,2433023.5,3.092796802520752,5.0,15.36,49.64,30.0,0.05,0.1536,0.4964,0.3,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6633061093079484,108749.6108312492,4.972126384131754,3.092796802520752,-0.08449273802845703,-0.11688599363810148,0.3049094970375743,-0.17973079769923883,-0.1441620428185532,-0.027276049180451706,0.15245474851878713,0.05966930479009616,11.596803370381302,11.537134065591205,11.654020059229307
BEN,Benin,benin,Benin,2010,19116.169921875,3.3049874305725098,56056.1796875,1.5562914609909058,64.09,16.76,16.05,3.11,0.6408359164083592,0.1675832416758324,0.1604839516048395,0.0310968903109689,1.0000000000000002,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.7469925416694492,5784.0371025446175,2.9323959724460202,1.5562914609909058,-3.018438929905596,-0.538558480988211,-0.22311826856197903,-0.8665008708479425,-1.516618486117143,-0.978060005128932,-0.1115591342809895,-1.5018204437884526,8.662857178504163,10.164677622292617,10.703236103280828
BGD,Bangladesh,bangladesh,Bangladesh,2010,391172.8125,54.435997009277344,1154218.875,1.8734359741210935,41.99,20.27,33.17,4.58,0.4198580141985801,0.2026797320267973,0.3316668333166683,0.0457954204579542,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.010797284128282,7185.921706060307,2.9506623111748085,1.8734359741210935,-2.8014170361393305,-0.3979229407161986,-0.21690843804628335,-0.6810324291318766,-1.1874095888712168,-0.7894866481550182,-0.10845421902314166,-1.6140074472681138,8.879879072270429,10.493886519538542,10.891809460254741
BGR,Bulgaria,bulgaria,Bulgaria,2010,123621.28125,3.2534754276275635,329768.09375,3.082859516143799,2.26,5.33,68.88,23.53,0.0226,0.0533,0.6888,0.2353,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.689786370887827,37996.68508335553,2.6675673509895774,3.082859516143799,-1.1360419081549384,-0.10699246847588151,-0.31777114285566166,-0.18294901271666086,-0.44882705262037315,-0.34183458414449164,-0.1588855714278308,-0.6872148555345652,10.54525420025482,11.232469055789386,11.339461524265268
BHR,Bahrain,bahrain,Bahrain,2010,57765.90625,0.5914424657821655,222730.640625,2.2646985054016118,31.7,13.4,45.42,9.48,0.317,0.134,0.4542,0.0948,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2276708043848172,97669.52762447699,3.8557456306677436,2.2646985054016118,-0.19195121642431623,-0.29549768562759837,0.05062631196033718,-0.49136495344743925,-0.761549483094869,-0.46605179746727066,0.025313155980168586,0.5695982666705528,11.489344891985443,10.91974662531489,11.215244310942488
BLZ,Belize,belize,Belize,2010,2510.125244140625,0.1202249825000763,4675.4990234375,3.2668745517730717,0.1,15.96,78.22,5.72,0.001,0.1596,0.7822,0.0572,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4873306826704042,20878.56610117645,1.8626556720034182,3.2668745517730717,-1.7348177420866087,-0.18524412244342947,-0.6769348453990648,-0.12497286004305908,-0.6486844051860209,-0.4634402827425914,-0.33846742269953234,-1.0861333369005877,9.94647836632315,11.032611703223738,11.217855825667169
BOL,Bolivia (Plurinational State of),bolivia plurinational state of,Bolivia,2010,52741.2421875,4.444625854492188,111501.265625,2.718721389770508,13.53,39.53,24.16,22.77,0.1353135313531353,0.3953395339533953,0.2416241624162416,0.2277227722772277,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3689283351006787,11866.295142524621,2.1141190650876722,2.718721389770508,-2.2998387889420773,-0.23401656930843429,-0.550299887419942,-0.3086449008278389,-0.8178114138462441,-0.5837948445378098,-0.2751499437099709,-1.4820273750958333,9.381457319467682,10.863484694563516,11.09750126387195
BRA,Brazil,brazil,Brazil,2010,2938155.5,86.35382843017578,11923873.0,2.473361730575561,12.37,37.01,39.32,11.3,0.1236999999999999,0.3701,0.3932,0.113,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2840240127743536,34024.6119183441,4.058285206484136,2.473361730575561,-1.246456686734886,-0.27051543769679676,0.10182242599679947,-0.403228343514473,-0.62283256821287,-0.3523171305160733,0.05091121299839973,-0.6236241185220159,10.434839421674873,11.05846354019689,11.328978977893685
